기관명,기관유형,홈페이지URL,게시판URL,상태,상태설명,게시물후보,상세확인,기존확인건너뜀,최근게시물,제목매칭,본문매칭,상세오류,게시판후보수,게시판조회수,게시판검증수,선정점수,재시도대상,최종확인시각
한국사회보장정보원,준정부기관(위탁집행형),http://www.ssis.or.kr/,https://www.ssis.or.kr/lay1/bbs/S1T1909C101/B/101/view.do?mode=view&article_seq=123983&cpage=16&rows=9&condition=A.ALL&keyword=,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,8,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국사회복지협의회,기타공공기관,https://www.bokji.net/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
한국사회적기업진흥원,기타공공기관,https://www.socialenterprise.or.kr/,https://www.socialenterprise.or.kr/homepage/main.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,0,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국산림복지진흥원,준정부기관(위탁집행형),https://www.fowi.or.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
한국산업기술기획평가원,준정부기관(위탁집행형),https://www.keit.re.kr/,https://www.keit.re.kr/board.es?mid=a10301010000&bid=0009,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,1,1,0,1,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국산업기술시험원,기타공공기관,https://www.ktl.re.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
한국산업기술진흥원,준정부기관(위탁집행형),https://www.kiat.or.kr/,https://www.kiat.or.kr/front/user/newsMail.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,1,1,0,1,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국산업단지공단,준정부기관(위탁집행형),https://www.kicox.or.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
한국산업안전보건공단,준정부기관(위탁집행형),https://kosha.or.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
한국산업은행,기타공공기관,http://www.kdb.co.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
한국산업인력공단,준정부기관(위탁집행형),https://www.hrdkorea.or.kr/,https://www.hrdkorea.or.kr/3/1/1?k=56118,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,2,0,0,0,,,,,아니오,2026-09-26 09:29:41
