기관명,기관유형,홈페이지URL,게시판URL,상태,상태설명,게시물후보,상세확인,기존확인건너뜀,최근게시물,제목매칭,본문매칭,상세오류,게시판후보수,게시판조회수,게시판검증수,선정점수,재시도대상,최종확인시각
코레일로지스(주),기타공공기관,https://www.koraillogis.com/,https://www.koraillogis.com/support/notice.php,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,8,0,0,0,,,,,아니오,2026-09-26 09:29:41
코레일유통(주),기타공공기관,https://www.korailretail.com/,https://www.korailretail.com/bbs/selectBbsList.do?bbsId=BBSMSTR_000000000001,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,9,0,0,0,,,,,아니오,2026-09-26 09:29:41
코레일테크(주),기타공공기관,https://www.korailtech.com/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
태권도진흥재단,기타공공기관,https://www.tpf.or.kr/,https://www.tpf.or.kr/t1/main/index.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,10,0,0,0,,,,,아니오,2026-09-26 09:29:41
통일연구원,기타공공기관,https://www.kinu.or.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
학교법인한국폴리텍,기타공공기관,http://www.kopo.ac.kr/,https://www.kopo.ac.kr/index.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,2,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국가스공사,공기업(시장형),https://www.kogas.or.kr/,https://www.kogas.or.kr/site/koGas/goBoard.do?boardNo=6&Key=1010200000000,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,8,0,0,2,,,,,아니오,2026-09-26 09:29:41
한국가스안전공사,준정부기관(위탁집행형),https://www.kgs.or.kr/,https://www.kgs.or.kr/kgs/aga/board.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,5,5,0,5,0,0,2,,,,,아니오,2026-09-26 09:29:41
한국개발연구원,기타공공기관,https://www.kdi.re.kr/,https://www.kdi.re.kr/share/noticeList,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,2,2,0,1,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국건강가정진흥원,기타공공기관,http://www.kihf.or.kr/,https://www.kihf.or.kr/web/lay1/bbs/S1T838C97/A/3/list.do?rows=10&cpage=1&cat=&article_seq=&condition=TITLE&keyword=,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,4,4,0,0,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국건강증진개발원,기타공공기관,https://www.khepi.or.kr/,https://www.khepi.or.kr/board;jsessionid=PzJZVCf3vIU9dZMgBBBIMDZ0xMNtDcRMLWWX49nc4almVYSFTK69tKnSXxybc11s.khealth-was_servlet_khealth2018?menuId=MENU00905&siteId=null-,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,1,1,0,0,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국고용노동교육원,기타공공기관,https://www.keli.kr/,https://www.keli.kr/info/pltfm/index.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,7,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국고용정보원,준정부기관(위탁집행형),https://keis.or.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
한국고전번역원,기타공공기관,https://www.itkc.or.kr/,https://www.itkc.or.kr/bbs/board.do?id=2&menuId=99,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,7,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국공예디자인문화진흥원,기타공공기관,https://www.kcdf.or.kr/,https://www.kcdf.or.kr/brd/board/322/L/menu/291,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,8,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국공정거래조정원,기타공공기관,https://www.kofair.or.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,2,8,0,,예,2026-09-26 09:29:41
한국공항공사,공기업(시장형),http://www.airport.co.kr/,https://www.airport.co.kr/www/cms/frCon/index.do?MENU_ID=2060,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,10,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국과학기술기획평가원,기타공공기관,https://www.kistep.re.kr/,https://www.kistep.re.kr/board.es?mid=a10206010100&bid=0027,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,8,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국과학창의재단,기타공공기관,https://www.kosac.re.kr/,https://www.kosac.re.kr/menus/247/boards/405/posts,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,8,0,0,0,,,,,아니오,2026-09-26 09:29:41
